X1,X2,y
-0.3714195318,1.570934883,1
0.9875265679,2.924966844,1
4.501289929,4.148128291,1
3.218695385,1.998996556,1
-0.9994196886,0.4434634008,1
-0.5557068034,-0.02458870673,1
0.9690428331,1.123056416,1
-0.7545159532,0.4725975459,1
0.6533459448,1.161154513,1
-0.04144434309,1.750953615,1
2.431727441,1.991999886,1
1.082935483,1.397503661,1
1.731967699,1.298800099,1
1.741069646,1.559600459,1
0.1494466648,-0.2620281131,1
1.910801657,1.066583201,1
2.29208975,3.261569404,1
0.5809695928,0.8909285618,1
-0.8718229966,0.7006547394,1
-1.355237072,2.577209453,1
0.4451369082,-0.2499279879,1
1.362664799,1.879502629,1
2.009528173,2.887483342,1
0.4132188713,-1.632953232,1
-1.288221729,1.929520286,1
3.207417206,1.086135558,1
0.1742967476,1.699558548,1
0.639954341,1.223875627,1
1.53389355,2.569861769,1
1.061152954,2.661861068,1
0.8533481654,2.397698549,1
-0.4711837311,0.8964771213,1
-0.6982708764,0.09097076089,1
1.80524834,1.370438015,1
0.468226903,0.2801612938,1
-1.156341073,0.4440384689,1
1.22608023,3.607495495,1
1.747480281,2.087465926,1
-1.738538982,0.7854891925,1
1.4650572,2.713484869,1
0.7783856217,1.687642145,1
-1.081581082,3.245981705,1
1.082403465,2.665597929,1
1.060848533,1.019912152,1
-0.06721480737,1.162634143,1
1.146595117,2.237171689,1
4.074712149,2.988666451,1
-0.6485049556,-0.2406169719,1
0.5494929546,1.315104611,1
0.6173626136,0.8437693678,1
-0.6903991852,4.303582106,1
1.990403968,0.7908137106,1
-0.2723209179,1.606202231,1
0.1073963955,0.7611588011,1
-0.3448203764,0.9797339339,1
1.121557272,0.1265696593,1
-0.7294058084,-0.4152003128,1
-0.4970547729,0.9504198908,1
-0.4011811627,0.4369350759,1
-0.8348751609,1.451068314,1
-1.200803758,0.851516872,1
0.5430064862,1.95025402,1
0.7964423279,0.9072347156,1
2.798729803,1.745878878,1
-0.2919734061,0.8193603971,1
3.386116747,2.007136861,1
2.769014721,2.617809816,1
1.212133866,0.6719199315,1
2.888171797,2.453584467,1
0.7625887634,2.120889825,1
1.672508108,2.228327707,1
-1.052230524,4.063434088,1
